Drug	pt	no_cases	total	prr
clomipramine	Thirst	1	125	0.008
clomipramine	Throat irritation	1	207	0.004830917874
clomipramine	Thrombocytopenia	2	996	0.002008032129
clomipramine	Thrombophlebitis	9	65	0.1384615385
clomipramine	Thrombosis	7	825	0.008484848485
clomipramine	Thrombotic microangiopathy	1	47	0.02127659574
clomipramine	Thyroid operation	1	10	0.1
clomipramine	Tibia fracture	1	23	0.04347826087
clomipramine	Tinea pedis	1	10	0.1
clomipramine	Tinnitus	2	718	0.00278551532
clomipramine	Toe operation	1	11	0.09090909091
clomipramine	Tongue blistering	1	25	0.04
clomipramine	Tongue oedema	1	28	0.03571428571
clomipramine	Tonsillitis	1	62	0.01612903226
clomipramine	Toothache	1	95	0.01052631579
clomipramine	Toxic epidermal necrolysis	9	749	0.01201602136
clomipramine	Toxicity to various agents	73	6972	0.01047045324
clomipramine	Toxic skin eruption	7	168	0.04166666667
clomipramine	Transaminases increased	2	199	0.01005025126
clomipramine	Transcranial magnetic stimulation	1	3	0.3333333333
clomipramine	Transient ischaemic attack	2	367	0.005449591281
clomipramine	Treatment failure	4	1390	0.002877697842
clomipramine	Tremor	16	1680	0.009523809524
clomipramine	Tremor neonatal	1	7	0.1428571429
clomipramine	Trismus	2	102	0.01960784314
clomipramine	Troponin I increased	1	13	0.07692307692
clomipramine	Tuberculosis	1	81	0.01234567901
clomipramine	Tubulointerstitial nephritis	2	187	0.01069518717
clomipramine	Tumour associated fever	2	15	0.1333333333
clomipramine	Type 1 diabetes mellitus	2	36	0.05555555556
clomipramine	Type 2 diabetes mellitus	2	364	0.005494505495
clomipramine	Underdose	2	400	0.005
clomipramine	Unevaluable event	4	706	0.00566572238
clomipramine	Urinary incontinence	1	347	0.00288184438
clomipramine	Urinary retention	11	805	0.01366459627
clomipramine	Urinary tract infection	3	2282	0.001314636284
clomipramine	Urine odour abnormal	1	53	0.01886792453
clomipramine	Urine output increased	1	11	0.09090909091
clomipramine	Urosepsis	1	104	0.009615384615
clomipramine	Urticaria	2	1208	0.001655629139
clomipramine	Uterine cancer	1	60	0.01666666667
clomipramine	Uterine haemorrhage	5	65	0.07692307692
clomipramine	Uveitis	6	107	0.05607476636
clomipramine	Vaginal haemorrhage	1	319	0.003134796238
clomipramine	Vaginal neoplasm	2	2	1
clomipramine	Variant Creutzfeldt-Jakob disease	1	2	0.5
clomipramine	Vascular device infection	1	87	0.01149425287
clomipramine	Vascular neoplasm	1	4	0.25
clomipramine	Vascular purpura	3	43	0.06976744186
clomipramine	Ventricular dysfunction	1	27	0.03703703704
clomipramine	Ventricular septal defect	2	59	0.03389830508
clomipramine	Vertigo	9	484	0.01859504132
clomipramine	Victim of sexual abuse	2	15	0.1333333333
clomipramine	Viral infection	1	227	0.004405286344
clomipramine	Vision blurred	4	852	0.004694835681
clomipramine	Visual impairment	5	588	0.008503401361
clomipramine	Vitamin B12 decreased	2	29	0.06896551724
clomipramine	Vocal cord paralysis	1	12	0.08333333333
clomipramine	Vomiting	7	2145	0.003263403263
clomipramine	Water intoxication	1	9	0.1111111111
clomipramine	Weight decreased	1	1437	0.0006958942241
clomipramine	Weight increased	19	2518	0.007545671168
clomipramine	White blood cell count decreased	1	721	0.001386962552
clomipramine	Withdrawal syndrome	3	889	0.003374578178
clomipramine	Wrong drug administered	1	15	0.06666666667
clomipramine	Wrong patient received product	1	57	0.01754385965
clomipramine	Wrong technique in product usage process	5	758	0.006596306069
clomipramine	Yawning	1	58	0.01724137931
desipramine 	Abasia	3	1659	0.001808318264
desipramine 	Abdominal abscess	3	237	0.01265822785
desipramine 	Abdominal discomfort	26	14497	0.001793474512
desipramine 	Abdominal distension	11	7202	0.001527353513
desipramine 	Abdominal pain	21	16090	0.001305158484
desipramine 	Abdominal pain lower	2	1175	0.00170212766
desipramine 	Abdominal pain upper	15	12523	0.001197796055
desipramine 	Abnormal dreams	7	4505	0.001553829079
desipramine 	Abortion spontaneous	1	2003	0.0004992511233
desipramine 	Abscess	4	802	0.004987531172
desipramine 	Accident	4	802	0.004987531172
desipramine 	Accidental death	3	388	0.007731958763
desipramine 	Accidental exposure to product	1	1296	0.0007716049383
desipramine 	Accidental overdose	1	2453	0.0004076640848
desipramine 	Acne	10	2209	0.004526935265
desipramine 	Activities of daily living impaired	2	1625	0.001230769231
desipramine 	Acute kidney injury	47	23399	0.002008632848
desipramine 	Acute respiratory distress syndrome	2	922	0.002169197397
desipramine 	Acute respiratory failure	1	1222	0.0008183306056
desipramine 	Adverse drug reaction	15	4524	0.003315649867
desipramine 	Adverse event	13	3941	0.003298655164
desipramine 	Affective disorder	4	1853	0.00215866163
desipramine 	Ageusia	1	1179	0.0008481764207
desipramine 	Aggression	4	6601	0.0006059687926
desipramine 	Agitation	2	12595	0.0001587931719
desipramine 	Akathisia	4	3096	0.001291989664
desipramine 	Alanine aminotransferase increased	1	2960	0.0003378378378
desipramine 	Alkalosis	2	8	0.25
desipramine 	Allergic oedema	2	78	0.02564102564
desipramine 	Alopecia	12	13201	0.0009090220438
desipramine 	Amenorrhoea	2	610	0.003278688525
desipramine 	Ammonia increased	1	214	0.004672897196
desipramine 	Amnesia	14	5868	0.002385821404
desipramine 	Anaemia	3	8359	0.0003588946046
desipramine 	Anal abscess	3	169	0.01775147929
desipramine 	Anal fistula	5	136	0.03676470588
desipramine 	Anaphylactic reaction	2	2181	0.0009170105456
desipramine 	Anaphylactic shock	1	664	0.001506024096
desipramine 	Anger	1	3376	0.0002962085308
desipramine 	Angina pectoris	65	1254	0.05183413078
desipramine 	Angioplasty	1	43	0.02325581395
desipramine 	Anhedonia	3	2717	0.001104158999
desipramine 	Ankle fracture	1	1678	0.0005959475566
desipramine 	Anterior chamber cell	1	8	0.125
desipramine 	Antidepressant drug level above therapeutic	7	93	0.0752688172
desipramine 	Anxiety	18	30085	0.0005983048031
desipramine 	Aphonia	1	696	0.001436781609
desipramine 	Aphthous stomatitis	1	23	0.04347826087
desipramine 	Aphthous ulcer	1	481	0.002079002079
desipramine 	Appendicitis	1	340	0.002941176471
desipramine 	Application site pruritus	1	138	0.007246376812
desipramine 	Argyria	1	1	1
desipramine 	Arnold-Chiari malformation	1	156	0.00641025641
desipramine 	Arrhythmia	2	2306	0.0008673026886
desipramine 	Arterial occlusive disease	1	286	0.003496503497
desipramine 	Arteriosclerosis coronary artery	1	585	0.001709401709
desipramine 	Arthralgia	24	19575	0.00122605364
desipramine 	Arthritis	1	3709	0.0002696144513
desipramine 	Arthropathy	3	2120	0.00141509434
desipramine 	Asphyxia	1	657	0.001522070015
desipramine 	Aspiration	2	901	0.002219755827
desipramine 	Asterixis	1	59	0.01694915254
desipramine 	Asthenia	9	15885	0.000566572238
desipramine 	Asthma	3	6690	0.0004484304933
desipramine 	Atrial fibrillation	4	3425	0.001167883212
desipramine 	Atrial flutter	1	244	0.004098360656
desipramine 	Atypical pneumonia	1	169	0.005917159763
desipramine 	Autism spectrum disorder	1	254	0.003937007874
desipramine 	Autoimmune disorder	1	351	0.002849002849
desipramine 	Autoimmune hepatitis	1	252	0.003968253968
desipramine 	Autoimmune myocarditis	1	3	0.3333333333
desipramine 	Back disorder	2	1055	0.001895734597
desipramine 	Back injury	2	648	0.003086419753
desipramine 	Back pain	5	8125	0.0006153846154
desipramine 	Bacteraemia	2	318	0.006289308176
desipramine 	Balance disorder	2	7162	0.0002792516057
desipramine 	Basal cell carcinoma	1	619	0.001615508885
desipramine 	Bedridden	1	586	0.001706484642
desipramine 	Benign neoplasm of thyroid gland	1	68	0.01470588235
desipramine 	Biliary dyskinesia	1	21	0.04761904762
desipramine 	Bipolar disorder	10	1272	0.00786163522
desipramine 	Bladder catheterisation	2	41	0.0487804878
desipramine 	Blister	2	1764	0.001133786848
desipramine 	Blood calcium decreased	2	682	0.00293255132
desipramine 	Blood cholesterol increased	1	1843	0.0005425935974
desipramine 	Blood cortisol decreased	1	8	0.125
desipramine 	Blood creatine phosphokinase increased	1	1404	0.0007122507123
desipramine 	Blood creatinine abnormal	1	77	0.01298701299
desipramine 	Blood glucose increased	3	2803	0.001070281841
desipramine 	Blood iron decreased	2	384	0.005208333333
desipramine 	Blood oestrogen increased	2	28	0.07142857143
desipramine 	Blood pH decreased	3	16	0.1875
desipramine 	Blood potassium increased	1	437	0.002288329519
desipramine 	Blood pressure fluctuation	3	1371	0.002188183807
desipramine 	Blood pressure increased	5	6102	0.0008194034743
desipramine 	Body height decreased	3	633	0.004739336493
desipramine 	Body temperature increased	2	665	0.003007518797
desipramine 	Bone disorder	2	336	0.005952380952
desipramine 	Bradycardia	2	3517	0.0005686664771
desipramine 	Brain injury	1	609	0.001642036125
desipramine 	Breast cancer	1	1699	0.0005885815185
desipramine 	Bronchitis	1	3621	0.0002761668048
desipramine 	Bronchopneumonia	1	20	0.05
desipramine 	Bronchopulmonary aspergillosis	2	103	0.01941747573
desipramine 	Bundle branch block right	4	237	0.01687763713
desipramine 	Bunion operation	3	21	0.1428571429
desipramine 	Burning sensation	5	2609	0.001916443082
desipramine 	Cardiac arrest	10	4297	0.002327205027
desipramine 	Cardiac death	1	33	0.0303030303
desipramine 	Cardiac disorder	2	1766	0.001132502831
desipramine 	Cardiac failure	1	1781	0.0005614823133
desipramine 	Cardiac failure congestive	2	1435	0.001393728223
desipramine 	Cardiac flutter	3	202	0.01485148515
desipramine 	Cardiogenic shock	1	567	0.00176366843
desipramine 	Cardiomyopathy	1	272	0.003676470588
desipramine 	Cardio-respiratory arrest	17	4099	0.004147353013
desipramine 	Cardiotoxicity	2	205	0.009756097561
desipramine 	Cartilage injury	2	95	0.02105263158
desipramine 	Cataract	5	1677	0.002981514609
desipramine 	Cellulitis	6	1773	0.003384094755
desipramine 	Cerebral atrophy	2	81	0.02469135802
desipramine 	Cerebral haemorrhage	2	1339	0.001493651979
desipramine 	Cerebrospinal fluid leakage	3	72	0.04166666667
desipramine 	Cerebrovascular accident	1	3539	0.0002825656965
desipramine 	Chest discomfort	3	2503	0.001198561726
desipramine 	Chest pain	4	4011	0.0009972575418
desipramine 	Chills	4	2640	0.001515151515
desipramine 	Chronic kidney disease	12	10392	0.001154734411
desipramine 	Chronic obstructive pulmonary disease	2	1524	0.001312335958
desipramine 	Chronotropic incompetence	1	4	0.25
desipramine 	Circumstance or information capable of leading to medication error	1	322	0.003105590062
desipramine 	Clostridium difficile colitis	1	422	0.002369668246
desipramine 	Cognitive disorder	1	2731	0.0003661662395
desipramine 	Colitis	1	1183	0.0008453085376
desipramine 	Coma	1	6481	0.0001542971764
desipramine 	Completed suicide	67	18279	0.003665408392
desipramine 	Compulsive sexual behaviour	4	72	0.05555555556
desipramine 	Concussion	1	507	0.001972386588
desipramine 	Condition aggravated	44	12103	0.003635462282
desipramine 	Conductive deafness	1	6	0.1666666667
desipramine 	Confusional state	11	8039	0.001368329394
desipramine 	Congestive cardiomyopathy	2	114	0.01754385965
desipramine 	Constipation	8	7743	0.00103319127
desipramine 	Contusion	4	2928	0.001366120219
desipramine 	Cough	10	5339	0.001873009927
desipramine 	COVID-19	2	5340	0.0003745318352
desipramine 	COVID-19 pneumonia	3	424	0.007075471698
desipramine 	Crohn's disease	3	1856	0.00161637931
desipramine 	Crying	1	2514	0.0003977724741
desipramine 	Cyst rupture	4	17	0.2352941176
desipramine 	Cytomegalovirus viraemia	2	32	0.0625
desipramine 	Death	15	17866	0.0008395835666
desipramine 	Decreased appetite	1	4648	0.0002151462995
desipramine 	Decreased immune responsiveness	1	137	0.007299270073
desipramine 	Dehydration	4	3088	0.001295336788
desipramine 	Dementia	2	789	0.002534854246
desipramine 	Depressed level of consciousness	1	3196	0.0003128911139
desipramine 	Depressed mood	3	2480	0.001209677419
desipramine 	Depression	5	14880	0.0003360215054
desipramine 	Dermatitis atopic	2	1208	0.001655629139
desipramine 	Dermatitis contact	3	236	0.01271186441
desipramine 	Device issue	1	1272	0.000786163522
desipramine 	Device malfunction	2	898	0.002227171492
desipramine 	Diabetes mellitus	3	1660	0.001807228916
desipramine 	Diarrhoea	9	13927	0.0006462267538
desipramine 	Disability	1	462	0.002164502165
desipramine 	Discomfort	1	990	0.00101010101
desipramine 	Disease progression	1	1795	0.0005571030641
desipramine 	Disease recurrence	6	1389	0.004319654428
desipramine 	Disorientation	5	1227	0.004074979625
desipramine 	Dissociation	2	431	0.00464037123
desipramine 	Disturbance in attention	1	1671	0.0005984440455
desipramine 	Diverticulitis	1	736	0.001358695652
desipramine 	Dizziness	12	14470	0.0008293020041
desipramine 	Drug administration error	2	588	0.003401360544
desipramine 	Drug dependence	3	2254	0.001330967169
desipramine 	Drug dispensing error	2	503	0.003976143141
desipramine 	Drug dose omission	6	4784	0.001254180602
desipramine 	Drug effect decreased	7	1363	0.005135730007
desipramine 	Drug effect incomplete	1	1805	0.0005540166205
desipramine 	Drug hypersensitivity	44	13219	0.00332854225
desipramine 	Drug ineffective	54	39294	0.001374255612
desipramine 	Drug ineffective for unapproved indication	21	2737	0.007672634271
desipramine 	Drug interaction	10	13502	0.0007406310176
desipramine 	Drug intolerance	1	2251	0.0004442470013
desipramine 	Drug level increased	2	472	0.004237288136
desipramine 	Drug tolerance increased	2	9	0.2222222222
desipramine 	Drug withdrawal syndrome	6	3060	0.001960784314
desipramine 	Dry age-related macular degeneration	2	151	0.01324503311
desipramine 	Dry mouth	3	1921	0.001561686622
desipramine 	Dupuytren's contracture operation	2	2	1
desipramine 	Dyskinesia	4	1759	0.002274019329
desipramine 	Dyspepsia	4	1412	0.00283286119
desipramine 	Dysphagia	2	1637	0.001221747098
desipramine 	Dyspnoea	3	7178	0.0004179437169
desipramine 	Dystonia	1	798	0.001253132832
desipramine 	Ear infection	1	707	0.001414427157
desipramine 	Eating disorder	1	274	0.003649635036
desipramine 	Ejaculation failure	1	74	0.01351351351
desipramine 	Electrocardiogram QRS complex prolonged	1	205	0.00487804878
desipramine 	Electrocardiogram QT prolonged	4	2734	0.001463057791
desipramine 	Erythema	1	2008	0.0004980079681
desipramine 	Exposure during pregnancy	1	3152	0.0003172588832
desipramine 	Extrapyramidal disorder	1	657	0.001522070015
desipramine 	Eye irritation	1	445	0.002247191011
desipramine 	Eye pain	2	942	0.002123142251
desipramine 	Eye swelling	1	388	0.002577319588
desipramine 	Fall	3	11531	0.0002601682421
desipramine 	Fatigue	11	12154	0.0009050518348
desipramine 	Feeling abnormal	3	4445	0.0006749156355
desipramine 	Feeling cold	1	228	0.004385964912
desipramine 	Feeling hot	1	654	0.001529051988
desipramine 	Feeling jittery	1	457	0.002188183807
desipramine 	Female sterilisation	1	10	0.1
desipramine 	Flushing	1	1098	0.0009107468124
desipramine 	Foetal arrhythmia	1	11	0.09090909091
desipramine 	Foetal exposure during pregnancy	5	4277	0.001169043722
desipramine 	Food allergy	1	262	0.003816793893
desipramine 	Foot deformity	1	217	0.004608294931
desipramine 	Formication	1	172	0.005813953488
desipramine 	Full blood count decreased	1	490	0.002040816327
desipramine 	Gait disturbance	1	2248	0.0004448398577
desipramine 	Galactorrhoea	6	475	0.01263157895
desipramine 	Gallbladder abscess	1	3	0.3333333333
desipramine 	Gallbladder disorder	3	298	0.01006711409
desipramine 	Gambling disorder	2	264	0.007575757576
desipramine 	Gastric disorder	1	496	0.002016129032
desipramine 	Gastroenteritis	1	212	0.004716981132
desipramine 	Gastrointestinal disorder	1	925	0.001081081081
desipramine 	Gastrointestinal haemorrhage	1	2522	0.0003965107058
desipramine 	Gastrointestinal motility disorder	1	60	0.01666666667
desipramine 	Generalised oedema	1	128	0.0078125
desipramine 	Glaucoma	1	347	0.00288184438
desipramine 	Goitre	1	88	0.01136363636
desipramine 	Haematemesis	2	417	0.00479616307
desipramine 	Haematochezia	1	511	0.001956947162
desipramine 	Haemoglobin decreased	3	698	0.004297994269
desipramine 	Haemorrhage	1	776	0.001288659794
desipramine 	Hair colour changes	1	93	0.01075268817
desipramine 	Hallucination	1	2187	0.0004572473708
desipramine 	Hallucination, visual	2	821	0.002436053593
desipramine 	Headache	19	9335	0.00203535083
desipramine 	Heart rate increased	1	1002	0.000998003992
desipramine 	Heart rate variability increased	1	2	0.5
desipramine 	Hepatic cirrhosis	1	291	0.003436426117
desipramine 	Hepatic enzyme abnormal	2	89	0.02247191011
desipramine 	Hepatic enzyme increased	2	1240	0.001612903226
desipramine 	Herpes zoster	3	1094	0.002742230347
desipramine 	Hospitalisation	6	3411	0.001759014952
desipramine 	Hot flush	1	868	0.001152073733
desipramine 	Hyperammonaemic encephalopathy	2	57	0.0350877193
desipramine 	Hypercalcaemia	1	168	0.005952380952
desipramine 	Hyperhidrosis	1	2295	0.0004357298475
desipramine 	Hypersensitivity	5	3106	0.001609787508
desipramine 	Hypertension	4	3093	0.001293242806
desipramine 	Hypoaesthesia	4	1667	0.002399520096
desipramine 	Hypotension	2	2910	0.0006872852234
desipramine 	Hysterectomy	4	272	0.01470588235
desipramine 	Ill-defined disorder	2	464	0.004310344828
desipramine 	Immobile	2	33	0.06060606061
desipramine 	Immune system disorder	1	124	0.008064516129
desipramine 	Immune thrombocytopenia	38	455	0.08351648352
desipramine 	Inappropriate schedule of drug administration	1	826	0.001210653753
desipramine 	Inappropriate schedule of product administration	1	1683	0.0005941770648
desipramine 	Incorrect drug administration duration	1	116	0.008620689655
desipramine 	Infectious mononucleosis	1	52	0.01923076923
desipramine 	Influenza	1	1753	0.000570450656
desipramine 	Infusion related reaction	1	527	0.001897533207
desipramine 	Infusion site extravasation	2	186	0.01075268817
desipramine 	Injection site haemorrhage	2	326	0.006134969325
desipramine 	Injection site pain	3	1724	0.001740139211
desipramine 	Insomnia	2	3870	0.0005167958656
desipramine 	Insurance issue	1	206	0.004854368932
desipramine 	Intentional dose omission	2	378	0.005291005291
desipramine 	Intentional overdose	1	4185	0.000238948626
desipramine 	Intentional product misuse	1	2138	0.0004677268475
desipramine 	Intentional product use issue	2	2102	0.0009514747859
desipramine 	Internal haemorrhage	1	202	0.00495049505
desipramine 	Intestinal obstruction	2	651	0.003072196621
desipramine 	Intestinal perforation	1	105	0.009523809524
desipramine 	Intracranial pressure increased	1	134	0.007462686567
desipramine 	Irritability	1	601	0.001663893511
desipramine 	Irritable bowel syndrome	2	237	0.008438818565
desipramine 	Knee arthroplasty	1	453	0.002207505519
desipramine 	Laboratory test abnormal	1	432	0.002314814815
desipramine 	Labour induction	1	7	0.1428571429
desipramine 	Large intestinal obstruction	2	28	0.07142857143
desipramine 	Lethargy	1	435	0.002298850575
desipramine 	Lip swelling	2	493	0.004056795132
desipramine 	Long QT syndrome	2	203	0.009852216749
desipramine 	Loss of consciousness	3	1674	0.001792114695
desipramine 	Lower respiratory tract infection	1	609	0.001642036125
desipramine 	Maculopathy	1	469	0.002132196162
desipramine 	Malaise	2	4500	0.0004444444444
desipramine 	Maternal exposure during pregnancy	1	2214	0.0004516711834
desipramine 	Medication residue present	1	130	0.007692307692
desipramine 	Memory impairment	2	1777	0.001125492403
desipramine 	Meningitis aseptic	2	57	0.0350877193
desipramine 	Menstrual disorder	1	97	0.01030927835
desipramine 	Mental disability	2	15	0.1333333333
desipramine 	Metamyelocyte count increased	1	1	1
desipramine 	Micturition urgency	2	170	0.01176470588
desipramine 	Migraine	4	2083	0.001920307249
desipramine 	Mitral valve prolapse	2	20	0.1
desipramine 	Mouth injury	1	6	0.1666666667
desipramine 	Moyamoya disease	1	2	0.5
desipramine 	Multiple sclerosis relapse	1	1334	0.0007496251874
desipramine 	Muscle spasms	1	1744	0.0005733944954
desipramine 	Mydriasis	1	270	0.003703703704
desipramine 	Myocardial infarction	2	1488	0.001344086022
desipramine 	Myoclonus	1	480	0.002083333333
desipramine 	Nail growth abnormal	1	5	0.2
desipramine 	Narcotic bowel syndrome	1	4	0.25
desipramine 	Nasopharyngitis	2	2101	0.0009519276535
desipramine 	Nausea	6	7027	0.0008538494379
desipramine 	Needle issue	1	152	0.006578947368
desipramine 	Neovascular age-related macular degeneration	2	48	0.04166666667
desipramine 	Nephrolithiasis	2	1345	0.001486988848
desipramine 	Neutropenia	1	1557	0.0006422607579
desipramine 	Night sweats	1	458	0.002183406114
desipramine 	No adverse event	4	1892	0.002114164905
desipramine 	Ocular hyperaemia	1	184	0.005434782609
desipramine 	Oedema	1	373	0.002680965147
desipramine 	Off label use	6	10509	0.000570939195
desipramine 	Optic neuritis	2	80	0.025
desipramine 	Ovarian cyst	2	103	0.01941747573
desipramine 	Overdose	6	4348	0.001379944802
desipramine 	Pain	1	4732	0.0002113271344
desipramine 	Pain in extremity	4	1731	0.002310803004
desipramine 	Pain of skin	1	74	0.01351351351
desipramine 	Palpitations	4	846	0.004728132388
desipramine 	Pancreatitis	3	824	0.003640776699
desipramine 	Pancreatitis acute	1	638	0.001567398119
desipramine 	Paradoxical drug reaction	1	54	0.01851851852
desipramine 	Parkinsonism	1	669	0.001494768311
desipramine 	Peripheral coldness	1	60	0.01666666667
desipramine 	Pharyngitis	1	94	0.01063829787
desipramine 	Pharyngitis streptococcal	1	154	0.006493506494
desipramine 	Pneumonia	3	4909	0.0006111224282
desipramine 	Pneumonia bacterial	1	79	0.01265822785
desipramine 	Pneumothorax	1	97	0.01030927835
desipramine 	Polymorphic light eruption	1	1	1
desipramine 	Postural orthostatic tachycardia syndrome	2	85	0.02352941176
desipramine 	Product dose omission	1	1203	0.0008312551953
desipramine 	Product physical issue	1	177	0.005649717514
desipramine 	Product prescribing issue	1	120	0.008333333333
desipramine 	Product quality issue	1	336	0.002976190476
desipramine 	Product substitution issue	1	594	0.001683501684
desipramine 	Product taste abnormal	1	88	0.01136363636
desipramine 	Product use complaint	1	97	0.01030927835
desipramine 	Product use in unapproved indication	5	3366	0.001485442662
desipramine 	Product use issue	1	1363	0.0007336757153
desipramine 	Pruritus	1	3036	0.0003293807642
desipramine 	Psoriasis	1	2000	0.0005
desipramine 	Psoriatic arthropathy	1	805	0.001242236025
desipramine 	Psychotic symptom	1	41	0.0243902439
desipramine 	Pulmonary fibrosis	1	162	0.006172839506
desipramine 	Pulmonary thrombosis	1	171	0.005847953216
desipramine 	Pyrexia	2	1580	0.001265822785
desipramine 	Rash	6	3577	0.001677383282
desipramine 	Renal cancer	1	72	0.01388888889
desipramine 	Renal failure	1	1170	0.0008547008547
desipramine 	Renal impairment	1	615	0.00162601626
desipramine 	Renal neoplasm	1	13	0.07692307692
desipramine 	Renal pain	1	70	0.01428571429
desipramine 	Respiratory arrest	1	152	0.006578947368
desipramine 	Respiratory disorder	2	203	0.009852216749
desipramine 	Retinal dystrophy	2	62	0.03225806452
desipramine 	Retinal pigmentation	1	103	0.009708737864
desipramine 	Scoliosis	1	22	0.04545454545
desipramine 	Seizure	3	2931	0.001023541453
desipramine 	Sepsis	1	901	0.001109877913
desipramine 	Serotonin syndrome	1	3465	0.0002886002886
desipramine 	Sinusitis	3	1885	0.001591511936
desipramine 	Skin discolouration	1	205	0.00487804878
desipramine 	Skin exfoliation	1	282	0.003546099291
desipramine 	Skin lesion	1	146	0.006849315068
desipramine 	Sleep apnoea syndrome	5	1070	0.004672897196
desipramine 	Sleep disorder	2	770	0.002597402597
desipramine 	Small intestinal obstruction	2	219	0.009132420091
desipramine 	Spinal operation	1	326	0.003067484663
desipramine 	Status epilepticus	1	243	0.004115226337
desipramine 	Subacute cutaneous lupus erythematosus	1	59	0.01694915254
desipramine 	Sudden cardiac death	1	123	0.008130081301
desipramine 	Suicidal ideation	9	3174	0.002835538752
desipramine 	Supraventricular tachycardia	1	129	0.007751937984
desipramine 	Surgery	6	1457	0.004118050789
desipramine 	Suspected suicide	6	1377	0.004357298475
desipramine 	Swelling face	2	525	0.00380952381
desipramine 	Swollen tongue	2	633	0.003159557662
desipramine 	Syncope	1	1048	0.0009541984733
desipramine 	Tachycardia	1	693	0.001443001443
desipramine 	Therapeutic product effect decreased	1	587	0.001703577513
desipramine 	Therapeutic product effect incomplete	7	1193	0.005867560771
desipramine 	Therapeutic reaction time decreased	1	75	0.01333333333
desipramine 	Therapeutic response unexpected	1	411	0.002433090024
desipramine 	Therapy cessation	1	372	0.002688172043
desipramine 	Therapy interrupted	1	665	0.001503759398
desipramine 	Therapy non-responder	17	1063	0.01599247413
desipramine 	Thinking abnormal	1	187	0.005347593583
desipramine 	Thirst	1	125	0.008
desipramine 	Throat tightness	1	172	0.005813953488
desipramine 	Thrombocytopenic purpura	1	22	0.04545454545
desipramine 	Tinnitus	3	718	0.004178272981
desipramine 	Toxicity to various agents	2	6972	0.0002868617326
desipramine 	Transient ischaemic attack	1	367	0.00272479564
desipramine 	Treatment failure	5	1390	0.003597122302
desipramine 	Tremor	2	1680	0.00119047619
desipramine 	Type 2 diabetes mellitus	1	364	0.002747252747
desipramine 	Unevaluable event	2	706	0.00283286119
desipramine 	Upper gastrointestinal haemorrhage	1	519	0.001926782274
desipramine 	Upper respiratory tract infection	1	642	0.001557632399
desipramine 	Urinary tract infection	2	2282	0.0008764241893
desipramine 	Vertigo	2	484	0.004132231405
desipramine 	Vitamin B12 decreased	1	29	0.03448275862
desipramine 	Vitamin D decreased	1	75	0.01333333333
desipramine 	Weight decreased	1	1437	0.0006958942241
desipramine 	Weight increased	14	2518	0.005559968229
desipramine 	Withdrawal syndrome	5	889	0.005624296963
dibenzepin	Acute kidney injury	2	23399	8.55E-05
dibenzepin	Completed suicide	1	18279	5.47E-05
dibenzepin	Contusion	1	2928	0.0003415300546
dibenzepin	Depression	1	14880	6.72E-05
dibenzepin	Drug abuse	1	8901	0.0001123469273
dibenzepin	Electroencephalogram abnormal	2	53	0.03773584906
dibenzepin	Hepatic failure	1	309	0.003236245955
dibenzepin	Intentional overdose	6	4185	0.001433691756
dibenzepin	Toxicity to various agents	1	6972	0.0001434308663
doxepin	Abasia	15	1659	0.00904159132
doxepin	Abdominal abscess	3	237	0.01265822785
doxepin	Abdominal adhesions	3	299	0.01003344482
doxepin	Abdominal discomfort	180	14497	0.01241636201
doxepin	Abdominal distension	84	7202	0.01166342683
doxepin	Abdominal hernia	3	550	0.005454545455
doxepin	Abdominal mass	3	105	0.02857142857
doxepin	Abdominal neoplasm	1	32	0.03125
doxepin	Abdominal operation	2	71	0.02816901408
doxepin	Abdominal pain	177	16090	0.0110006215
doxepin	Abdominal pain lower	8	1175	0.006808510638
doxepin	Abdominal pain upper	157	12523	0.01253693205
doxepin	Abdominal symptom	3	43	0.06976744186
doxepin	Abnormal behaviour	59	6284	0.009388924252
doxepin	Abnormal dreams	29	4505	0.006437291898
doxepin	Abnormal faeces	3	429	0.006993006993
doxepin	Abnormal loss of weight	4	662	0.006042296073
doxepin	Abnormal sensation in eye	2	184	0.01086956522
doxepin	Abnormal sleep-related event	4	323	0.01238390093
doxepin	Abnormal weight gain	4	906	0.004415011038
doxepin	Abortion induced	1	283	0.003533568905
doxepin	Abortion spontaneous	8	2003	0.003994008987
doxepin	Abscess	17	802	0.02119700748
doxepin	Abscess limb	6	316	0.01898734177
doxepin	Abscess neck	7	52	0.1346153846
doxepin	Abscess oral	1	91	0.01098901099
doxepin	Abulia	1	452	0.002212389381
doxepin	Acarodermatitis	1	113	0.008849557522
doxepin	Accident	17	802	0.02119700748
doxepin	Accidental death	7	388	0.01804123711
doxepin	Accidental exposure to product	13	1296	0.0100308642
doxepin	Accidental overdose	45	2453	0.01834488382
doxepin	Accidental poisoning	2	152	0.01315789474
doxepin	Accidental underdose	1	87	0.01149425287
doxepin	Acetabulum fracture	1	111	0.009009009009
doxepin	Achromotrichia acquired	1	3	0.3333333333
doxepin	Acidosis	19	573	0.03315881326
doxepin	Acne	27	2209	0.01222272522
doxepin	Acne cystic	2	127	0.0157480315
doxepin	Acquired corneal dystrophy	1	5	0.2
doxepin	Acquired gene mutation	1	17	0.05882352941
doxepin	Acrochordon	2	117	0.01709401709
